,PRICE , TIME 
449,2553.05,09:58:26
450,2553.05,09:58:31
451,2553.05,09:58:36
452,2553.05,09:58:42
453,2553.05,09:58:47
454,2553.05,09:58:52
455,2553.05,09:58:57
456,2553.05,09:59:02
457,2553.05,09:59:08
458,2553.05,09:59:13
459,2553.05,09:59:18
460,2553.05,09:59:23
461,2553.05,09:59:29
462,2553.05,09:59:34
463,2553.05,09:59:39
464,2553.05,09:59:44
465,2553.05,09:59:49
466,2553.05,09:59:55
467,2553.05,10:00:00
468,2553.05,10:00:05
469,2553.05,10:00:10
470,2553.05,10:00:15
471,2553.05,10:00:21
472,2553.05,10:00:26
473,2557.65,10:00:31
474,2557.65,10:00:36
475,2557.65,10:00:41
476,2557.65,10:00:47
477,2557.65,10:00:52
478,2557.65,10:00:57
479,2557.65,10:01:02
480,2557.65,10:01:07
481,2557.65,10:01:12
482,2557.65,10:01:18
483,2557.65,10:01:23
484,2557.65,10:01:28
485,2557.65,10:01:33
486,2557.65,10:01:38
487,2557.65,10:01:44
488,2557.65,10:01:49
489,2557.65,10:01:54
490,2557.65,10:01:59
491,2557.65,10:02:04
492,2557.65,10:02:10
493,2561.0,10:02:15
494,2561.0,10:02:20
495,2561.0,10:02:25
496,2561.0,10:02:30
497,2561.0,10:02:36
498,2561.0,10:02:41
499,2561.0,10:02:46
500,2561.0,10:02:51
501,2561.0,10:02:56
502,2561.0,10:03:02
503,2561.0,10:03:07
504,2561.0,10:03:12
505,2561.0,10:03:17
506,2561.0,10:03:22
507,2561.0,10:03:28
508,2561.0,10:03:33
509,2561.0,10:03:38
510,2561.0,10:03:43
511,2561.0,10:03:48
512,2561.0,10:03:54
513,2561.0,10:03:59
514,2561.0,10:04:04
515,2561.0,10:04:09
516,2558.8,10:04:14
517,2558.8,10:04:20
518,2558.8,10:04:25
519,2558.8,10:04:30
520,2558.8,10:04:35
521,2558.8,10:04:41
522,2558.8,10:04:46
523,2558.8,10:04:51
524,2558.8,10:04:56
525,2558.8,10:05:01
526,2558.8,10:05:06
527,2558.8,10:05:12
528,2558.8,10:05:17
529,2558.8,10:05:22
530,2558.8,10:05:27
531,2558.8,10:05:32
532,2558.8,10:05:38
533,2558.8,10:05:43
534,2558.8,10:05:48
535,2558.8,10:05:53
536,2556.0,10:05:58
537,2558.5,10:06:03
538,2558.5,10:06:09
539,2558.5,10:06:14
540,2558.5,10:06:19
541,2558.5,10:06:24
542,2558.5,10:06:29
543,2558.5,10:06:35
544,2558.5,10:06:40
545,2558.5,10:06:45
546,2558.5,10:06:50
547,2558.5,10:06:55
548,2558.5,10:07:00
549,2558.5,10:07:06
550,2558.5,10:07:11
551,2558.5,10:07:16
552,2558.5,10:07:21
553,2558.5,10:07:26
554,2558.5,10:07:31
555,2558.5,10:07:37
556,2558.5,10:07:42
557,2558.5,10:07:47
558,2558.5,10:07:52
559,2560.0,10:07:57
560,2560.0,10:08:02
561,2560.0,10:08:08
562,2560.0,10:08:13
563,2560.0,10:08:18
564,2560.0,10:08:23
565,2560.0,10:08:28
566,2560.0,10:08:33
567,2560.0,10:08:39
568,2560.0,10:08:44
569,2560.0,10:08:49
570,2560.0,10:08:54
571,2560.0,10:08:59
572,2560.0,10:09:05
573,2560.0,10:09:10
574,2558.75,10:09:15
575,2558.75,10:09:20
576,2558.75,10:09:25
577,2558.75,10:09:30
578,2558.75,10:09:36
579,2558.75,10:09:41
580,2558.9,10:09:46
581,2558.9,10:09:51
582,2553.75,10:09:56
583,2553.75,10:10:02
584,2553.75,10:10:07
585,2553.75,10:10:12
586,2553.75,10:10:17
587,2553.75,10:10:22
588,2553.75,10:10:27
589,2553.75,10:10:33
590,2553.75,10:10:38
591,2553.75,10:10:43
592,2553.75,10:10:48
593,2553.75,10:10:53
594,2553.75,10:10:58
595,2553.75,10:11:04
596,2553.75,10:11:09
597,2553.75,10:11:14
598,2553.75,10:11:19
599,2553.75,10:11:24
